Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
2004-03-21,14:00:00,1.3,1128,-200,4.6,742,48,1144,48,1507,610,21.4,40.3,1.0126
2004-03-21,15:00:00,1.6,1243,-200,8.4,916,63,962,61,1669,657,21.2,39.3,0.9791
2004-03-21,16:00:00,1.9,1208,-200,6.9,853,98,1060,89,1506,647,20.3,38,0.8942
2004-03-21,17:00:00,2.3,1306,-200,9,938,132,961,105,1607,762,19.4,41.3,0.9206
2004-03-21,18:00:00,3.8,1546,-200,15.1,1151,173,769,116,1874,1122,18.5,43.8,0.9252
2004-03-21,19:00:00,3.5,1501,-200,12.6,1071,185,823,119,1744,1130,17.8,48.1,0.9689
2004-03-21,20:00:00,4.3,1605,-200,15.1,1153,266,769,144,1840,1637,17.9,46.9,0.952
2004-03-21,21:00:00,2.8,1316,-200,9.9,974,188,883,123,1673,1272,17.4,49.1,0.9688
2004-03-21,22:00:00,1.9,1195,-200,8,898,122,933,105,1594,1098,17,51.7,0.9914
2004-03-21,23:00:00,1.9,1211,-200,7.9,896,112,920,93,1624,1066,16.4,55.1,1.0198
2004-03-22,0:00:00,1.7,1161,-200,6.1,815,93,995,86,1582,909,16.1,60,1.0919
2004-03-22,1:00:00,1.5,1095,-200,5.1,767,74,1050,76,1547,818,15.8,60.5,1.0805
2004-03-22,2:00:00,0.6,897,-200,1.7,563,23,1417,33,1355,472,16.3,57,1.0491
2004-03-22,3:00:00,0.4,842,-200,0.7,468,-200,1813,-200,1274,394,16.9,53.9,1.0309
2004-03-22,4:00:00,,854,-200,0.8,481,17,1756,27,1304,396,16.1,55.9,1.0153
2004-03-22,5:00:00,0.3,845,-200,0.7,472,15,1786,23,1278,378,16.5,53.9,1.0049
2004-03-22,6:00:00,0.6,942,-200,2,586,41,1480,46,1373,432,16.4,54,0.9979
2004-03-22,7:00:00,1.2,1090,-200,5.1,768,86,1072,76,1538,699,15.7,57.6,1.0195
2004-03-22,8:00:00,3.6,1514,-200,17.7,1230,226,732,116,1996,1252,15.8,53.7,0.9571
2004-03-22,9:00:00,3.7,1379,-200,18.4,1252,214,711,115,1962,1237,17.4,42.1,0.8281
2004-03-22,10:00:00,1.8,1074,-200,6.9,854,115,1032,83,1484,772,17.9,38.4,0.7793
2004-03-22,11:00:00,1.6,1090,-200,7.3,868,124,1026,87,1509,766,18.5,36.7,0.7764
2004-03-22,12:00:00,1.9,1110,-200,9.6,964,122,947,90,1577,829,21,29.6,0.7263
2004-03-22,13:00:00,2,1102,-200,10.4,994,107,955,87,1599,783,21.3,28.1,0.7067
2004-03-22,14:00:00,2.2,1100,-200,11.2,1021,133,952,99,1607,822,21.3,26.1,0.6539
2004-03-22,15:00:00,2.1,1094,-200,10.7,1003,130,965,99,1574,813,21.3,26.8,0.6681
2004-03-22,16:00:00,2.3,1076,451,11.6,1034,150,964,101,1544,813,21.3,24.2,0.606
2004-03-22,17:00:00,2.6,1152,185,12.4,1062,138,928,103,1606,850,20.2,28.5,0.6682
2004-03-22,18:00:00,3.8,1407,426,18.3,1249,213,720,129,1932,1276,17,43.1,0.8264
2004-03-22,19:00:00,4.4,1438,672,21,1325,232,678,143,1993,1401,15.6,47.4,0.8347
2004-03-22,20:00:00,4.5,1425,624,21,1325,238,678,146,1965,1356,15.3,47.4,0.8178
2004-03-22,21:00:00,3.3,1279,325,14.5,1131,180,775,124,1758,1243,14.5,49.7,0.8177
2004-03-22,22:00:00,2,1132,143,8.4,916,128,920,113,1561,1083,13.9,52,0.8231
2004-03-22,23:00:00,1.1,1006,89,4.3,729,65,1142,80,1370,795,14.5,49.4,0.8106
2004-03-23,0:00:00,0.9,982,73,3.8,700,53,1204,72,1359,735,13.8,51.4,0.8071
2004-03-23,1:00:00,0.8,969,48,2.7,636,47,1271,64,1309,684,14,51.3,0.8163
2004-03-23,2:00:00,0.7,941,47,2.5,621,51,1298,70,1330,714,13,56.8,0.8444
2004-03-23,3:00:00,0.5,892,36,1.2,522,-200,1522,-200,1285,456,11,70,0.9215
2004-03-23,4:00:00,,855,25,0.8,478,20,1701,31,1261,401,10.1,76.8,0.9483
2004-03-23,5:00:00,0.3,834,19,0.6,459,13,1908,22,1212,361,8.8,80.5,0.9147
2004-03-23,6:00:00,0.5,909,26,1.8,567,33,1542,47,1287,418,9.6,75.4,0.9004
2004-03-23,7:00:00,1.1,1061,60,4.6,745,103,1178,88,1429,616,9.8,75,0.9093
2004-03-23,8:00:00,3,1441,248,14.2,1124,224,851,130,1829,1089,10,74.2,0.9117
2004-03-23,9:00:00,3.8,1498,535,21,1325,244,684,132,2095,1329,11.2,69.7,0.9232
2004-03-23,10:00:00,3.4,1343,340,16.2,1185,237,760,132,1857,1311,12,62.9,0.8803
2004-03-23,11:00:00,3,1308,325,15.5,1166,220,792,131,1794,1236,12.8,55.8,0.821
2004-03-23,12:00:00,2.7,1209,267,13.4,1097,207,837,129,1746,1147,13.1,54.8,0.8234
2004-03-23,13:00:00,3.5,1310,325,16.9,1207,208,770,132,1847,1301,13.8,53.4,0.8351
2004-03-23,14:00:00,2.8,1171,268,12.4,1064,160,881,110,1639,1097,16,42.4,0.7674
2004-03-23,15:00:00,1.9,1112,136,10.1,980,131,924,99,1589,900,14.1,49.8,0.7971
2004-03-23,16:00:00,2,1132,118,8.7,927,128,944,100,1570,781,12,61.1,0.8537
2004-03-23,17:00:00,3,1225,276,13.8,1111,176,818,122,1719,1013,13.6,54.6,0.8465
2004-03-23,18:00:00,1.9,1065,151,9.3,953,107,962,97,1514,790,13.7,49.5,0.7695
2004-03-23,19:00:00,2.7,1236,236,13,1084,131,854,112,1688,1059,11.7,57.1,0.7822
2004-03-23,20:00:00,3.3,1309,220,14.3,1126,166,812,128,1722,1205,11.5,58.2,0.7867
2004-03-23,21:00:00,1.7,1089,87,7.6,884,89,1006,101,1487,975,12.6,54.2,0.7881
2004-03-23,22:00:00,1.3,1000,81,5.3,776,81,1141,96,1375,896,12,54.9,0.7664
2004-03-23,23:00:00,1.3,1041,74,5.4,782,78,1105,86,1425,911,11,61.4,0.8057
2004-03-24,0:00:00,1.2,1045,55,4.9,756,70,1137,85,1411,902,11.1,62.2,0.8199
2004-03-24,1:00:00,1.1,997,74,4.6,744,76,1151,79,1405,832,10.8,62.5,0.8082
2004-03-24,2:00:00,0.9,948,35,2.7,634,43,1320,61,1326,715,11.3,60,0.8025
2004-03-24,3:00:00,0.6,878,29,1.6,551,-200,1493,-200,1272,683,10.6,61.6,0.7856
2004-03-24,4:00:00,,908,29,1.7,559,44,1477,66,1287,721,10.2,62.7,0.7813
2004-03-24,5:00:00,0.6,892,20,1.2,522,34,1572,54,1255,648,10.9,58.6,0.7628
2004-03-24,6:00:00,0.8,954,32,1.7,561,43,1496,57,1255,612,10.8,57.2,0.7382
2004-03-24,7:00:00,1.2,1045,84,4.8,751,79,1186,75,1403,800,10.4,59.2,0.7455
2004-03-24,8:00:00,3.1,1383,245,13.8,1109,174,832,97,1706,1173,11,57.3,0.7501
2004-03-24,9:00:00,4.4,1597,553,23.7,1395,235,652,110,2080,1519,11.2,56.9,0.7565
2004-03-24,10:00:00,3.4,1318,450,14.2,1124,218,762,113,1770,1287,12.1,54.9,0.7734
2004-03-24,11:00:00,1.7,1138,118,8,898,136,950,88,1505,966,15.1,44.3,0.7535
2004-03-24,12:00:00,1.5,1098,118,6.7,842,117,1012,85,1440,828,15.6,40.6,0.7146
2004-03-24,13:00:00,1.7,1118,144,8.7,927,119,959,96,1477,825,16.9,34.6,0.6597
2004-03-24,14:00:00,2.2,1170,159,10.8,1009,126,879,106,1566,872,16.6,35.6,0.6697
2004-03-24,15:00:00,,1112,122,6.7,842,100,1015,91,1494,680,11.3,63.9,0.8554
2004-03-24,16:00:00,2.7,1390,230,11.4,1028,197,829,126,1730,1002,9.6,81.1,0.972
2004-03-24,17:00:00,2.8,1353,320,13.4,1096,195,774,130,1783,1159,11.7,69.1,0.9497
2004-03-24,18:00:00,2.7,1260,263,12,1050,156,828,111,1722,979,10.7,68.5,0.8794
2004-03-24,19:00:00,4.5,1501,556,20.2,1302,247,681,134,2008,1311,10.7,67.3,0.8643
2004-03-24,20:00:00,3.5,1273,458,14.4,1130,190,795,136,1744,1071,10.8,65.7,0.8486
2004-03-24,21:00:00,2.6,1179,214,9.4,955,169,928,125,1571,899,10.3,66.3,0.8336
2004-03-24,22:00:00,1.7,1047,97,5.9,809,118,1064,108,1435,766,10.1,66.9,0.8248
2004-03-24,23:00:00,1.3,973,79,4.5,739,81,1186,87,1354,589,10.4,61.1,0.7717
2004-03-25,0:00:00,1.3,997,81,4.5,737,80,1168,89,1341,631,10.3,59.9,0.7516
2004-03-25,1:00:00,1,970,52,2.5,621,42,1400,58,1249,479,11,58.4,0.7686
2004-03-25,2:00:00,0.7,902,38,1.8,568,38,1450,54,1253,479,9.1,68.1,0.789
2004-03-25,3:00:00,0.7,921,35,1.4,538,-200,1564,-200,1224,417,9.5,68.2,0.8091
2004-03-25,4:00:00,0.5,858,29,0.9,490,18,1707,28,1212,378,9.3,72.3,0.8496
2004-03-25,5:00:00,0.5,878,21,0.6,457,12,1935,20,1158,344,9.9,66.8,0.8152
2004-03-25,6:00:00,0.6,893,46,1.4,540,43,1604,51,1268,413,7.6,83.2,0.8695
2004-03-25,7:00:00,1.1,1038,55,3.8,697,84,1260,82,1383,605,8.1,79,0.8544
2004-03-25,8:00:00,2.7,1320,271,11.6,1035,184,902,112,1721,991,8.7,74.6,0.8429
2004-03-25,9:00:00,3.5,1353,434,17.8,1235,202,740,119,1937,1175,8.6,75.1,0.8415
2004-03-25,10:00:00,2.3,1133,300,8.8,933,133,969,99,1552,923,9.7,69.7,0.8389
2004-03-25,11:00:00,1.6,1066,116,6.8,849,130,1039,98,1468,829,11,64.4,0.8447
2004-03-25,12:00:00,1.3,1027,95,5.9,809,106,1081,88,1442,733,13.6,53,0.8209
2004-03-25,13:00:00,2,1106,211,8.9,935,132,958,96,1570,819,14.2,48.4,0.778
2004-03-25,14:00:00,1.9,1038,168,8.2,907,106,976,81,1492,723,14.2,46.3,0.7438
2004-03-25,15:00:00,1.9,1084,154,8.6,924,125,986,92,1501,786,16,41.3,0.7462
2004-03-25,16:00:00,2.2,1105,267,10.1,982,138,939,105,1545,850,17.7,35.4,0.7094
2004-03-25,17:00:00,2,1102,143,9.4,957,120,968,88,1527,820,17.1,37.4,0.7225
2004-03-25,18:00:00,2.9,1240,374,14.6,1137,158,836,103,1748,991,14.9,40.5,0.6835
2004-03-25,19:00:00,5.2,1443,797,24.6,1418,253,666,141,2060,1454,13.4,47.8,0.7293
2004-03-25,20:00:00,4.6,1389,698,21.6,1341,231,692,133,1982,1488,12.6,52.5,0.7642
2004-03-25,21:00:00,2.5,1183,234,10.3,989,150,904,119,1539,1205,12.2,53.2,0.7555
2004-03-25,22:00:00,1.5,1014,104,5.7,798,99,1083,106,1376,909,10.6,56.1,0.714
2004-03-25,23:00:00,1.2,979,67,4.5,736,75,1154,92,1324,769,9.9,59.5,0.7276
2004-03-26,0:00:00,1.7,1048,88,5.5,787,93,1098,97,1373,835,9.6,61.1,0.7323
2004-03-26,1:00:00,1.4,1024,79,4.8,753,79,1131,91,1357,793,9.7,61.6,0.7425
2004-03-26,2:00:00,1.2,974,61,3.6,690,67,1208,83,1313,733,9.4,62.6,0.7398
2004-03-26,3:00:00,0.6,862,43,1.7,561,-200,1449,-200,1219,502,8.2,68.5,0.7455
2004-03-26,4:00:00,0.7,925,40,2.2,602,45,1398,59,1263,562,8,69.4,0.7459
2004-03-26,5:00:00,0.8,952,52,3,654,72,1210,73,1312,832,7.7,72.4,0.7655
2004-03-26,6:00:00,0.9,1005,64,4,713,103,1130,78,1363,924,8,71.8,0.7711
2004-03-26,7:00:00,1.6,1122,88,6.7,842,132,1015,90,1438,974,8.5,66.3,0.7375
2004-03-26,8:00:00,3.4,1351,375,16.7,1201,239,783,110,1828,1307,9.8,59.6,0.7214
2004-03-26,9:00:00,3.8,1408,592,19.3,1278,275,682,114,1928,1481,11.2,57,0.7544
2004-03-26,10:00:00,3.1,1304,357,14.8,1142,232,772,119,1747,1405,14.8,44.1,0.7407
2004-03-26,11:00:00,2.7,1207,296,13.4,1098,180,826,121,1664,1195,16.8,35.3,0.6729
2004-03-26,12:00:00,2,1099,181,11,1014,112,948,97,1503,868,19.2,27.1,0.5976
2004-03-26,13:00:00,2.3,1106,211,12.5,1068,116,915,99,1535,874,19.1,26.2,0.5741
2004-03-26,14:00:00,1.9,1009,199,8.4,916,103,1015,85,1391,738,16.3,30.8,0.5683
2004-03-26,15:00:00,1.3,962,81,5.3,776,89,1152,75,1279,550,14.2,36.8,0.5922
2004-03-26,16:00:00,1.9,1093,143,8.8,933,112,976,87,1454,777,13.4,41,0.6292
2004-03-26,17:00:00,2.3,1180,247,11.2,1023,127,886,102,1588,966,14.2,43.3,0.6982
2004-03-26,18:00:00,2.4,1168,239,11.6,1037,125,868,105,1580,990,12.1,45.6,0.6403
2004-03-26,19:00:00,2.7,1168,267,12.4,1063,120,876,98,1540,944,10.4,48,0.6046
2004-03-26,20:00:00,2.6,1140,261,10.6,1000,120,916,93,1490,962,10,51.1,0.628
2004-03-26,21:00:00,1.5,1001,97,6,811,99,1097,91,1308,778,9.8,50.8,0.6172
2004-03-26,22:00:00,1.2,953,66,4.6,743,79,1185,85,1252,690,9.7,50.4,0.6063
2004-03-26,23:00:00,1.1,972,60,4.1,715,66,1237,74,1258,644,9.9,50.2,0.6103
2004-03-27,0:00:00,1.5,1021,77,5.2,776,94,1144,87,1307,753,9.4,53.4,0.63
2004-03-27,1:00:00,1,940,57,3.2,664,70,1290,79,1232,646,8.6,57.8,0.6488
2004-03-27,2:00:00,1.2,1046,65,4.5,736,75,1142,78,1312,838,8.1,62.1,0.6746
2004-03-27,3:00:00,1.1,1026,59,3.8,699,-200,1191,-200,1292,851,7.9,63.5,0.6777
2004-03-27,4:00:00,,983,48,3.8,698,57,1209,63,1296,801,7.4,64.8,0.6683
2004-03-27,5:00:00,0.8,915,27,1.9,578,32,1417,48,1212,665,8.2,58.9,0.6444
2004-03-27,6:00:00,0.9,935,25,2.4,615,54,1373,59,1250,717,6.3,66.6,0.641
2004-03-27,7:00:00,1.1,976,42,3.3,669,68,1270,65,1266,795,7.2,62.9,0.6396
2004-03-27,8:00:00,1.5,1124,78,6.7,842,98,1050,71,1418,936,7.2,63.9,0.65
2004-03-27,9:00:00,1.8,1163,128,8.5,919,128,922,84,1530,1076,11.1,50.5,0.6654
2004-03-27,10:00:00,2.1,1167,184,9.7,966,129,942,93,1520,1016,15.5,36.1,0.6313
2004-03-27,11:00:00,2.1,1121,156,9.4,955,130,992,99,1451,834,17.8,29.2,0.592
2004-03-27,12:00:00,1.9,1071,176,9,940,111,994,93,1449,756,17.6,30.1,0.6013
2004-03-27,13:00:00,2.1,1065,232,10,979,106,950,96,1467,766,19.1,26.8,0.5861
2004-03-27,14:00:00,2.5,1157,305,12.6,1072,137,888,114,1596,905,17.7,28.6,0.5735
2004-03-27,15:00:00,1.9,1046,150,7.6,883,113,1051,101,1357,765,17.8,28.4,0.5737
2004-03-27,16:00:00,2.2,1147,188,11.8,1042,122,934,108,1538,830,18.7,26,0.5555
2004-03-27,17:00:00,2.3,1119,221,11.2,1022,137,916,117,1508,853,17.1,31.3,0.6038
2004-03-27,18:00:00,2.7,1210,219,12.4,1062,165,886,125,1586,981,15.8,36.1,0.644
2004-03-27,19:00:00,3,1306,306,12.9,1079,196,827,133,1621,1286,14.7,40.1,0.6657
2004-03-27,20:00:00,2.8,1258,270,12.2,1057,174,841,119,1633,1244,13.6,44.9,0.6991
2004-03-27,21:00:00,2.2,1148,231,8.8,930,140,948,107,1475,1056,12.5,48.1,0.6946
2004-03-27,22:00:00,1.6,1108,125,6.8,848,102,1023,96,1421,1003,11.8,50.8,0.7042
2004-03-27,23:00:00,2.1,1231,122,8.6,924,130,906,105,1483,1245,10.9,56.1,0.7326
